Sr. No.,NGO Name,Registration Number,Address,Sectors working
Sr No.,Name of VO/NGO,"Registration No.,City & State",Address,Sectors working in
85,AADARSH,"MH/7292/2001,",MITRA NAGER GANESH COLONY SAYGONE MALEGONE,Data Not Found
86,AADARSH,"F-12837, BHOKARDAN",AT.KHAPARKHEDA PO.TADEGAON TQ.BHOKARDAN,Data Not Found
87,AADARSH,"Ytl/0000213/2019, Yavatmal","At.Post.Manikawada Tq.Ner Dist.Yavatmal, Maharashtra 445","Children,Health & Family"
88,Aadarsh Gramin,"YTL0000213/2019,",AT. POST. MANIKAWADATQ. NER DIST. YAVATMAL 445102,Women's Development & Empowerment
89,AADARSH,"E- 1819/ SANGLI, PALUS","DR PAWAR HOSPITAL PALUS, BEHIND BOMBAY STEEL","Agriculture,Civic Issues,Disaster"
90,AADARSH,"F 29398(S), SOLAPUR","VADAKBAL,SOLAPUR,MH 413004","Agriculture,Animal Husbandry, Dairying &"
91,AADARSH,"MAH./171/2016, F-",APRANJANITAL-KAVATHE MAHANKALDIST-SANGLISTATE -,"Agriculture,Dalit"
92,AADARSH,"MAHA /1698/15/THAE,",1032 KHAN COMPOUND MOMIN PURA GAIBI NAGAR NEAR,Data Not Found
93,AADARSH,"F-19087, AURANGABAD",16/2 MADANI COLONY NEAR TAKALKAR SOCIETY CENTRAL,"Agriculture,Animal Husbandry, Dairying &"
94,AADARSH,"F-15624 (NAGPUR),","AT-KALANDRI (BORGAON), TALUKA- UMRED, DIST- NAGPUR-",Children
95,AADARSH SHIKSHAN VA KRIDA BAHUUDDESHIYA SANSTHA DEULGHAT,"17489, BULDANA (MAHARASHTRA)",DEULGHAT,"Agriculture,Children,Dalit Upliftment,Education & Literacy,Aged/Elderly,Human Rights,Any Other,Health & Family Welfare,Skill Development"
96,AADARSH YOUTH FOUNDATION,"F-27808 SOLAPUR, SOLAPUR (MAHARASHTRA)",41/187 NEW BUDHWAR PETH ANAND CHOWK SOLAPUR,Data Not Found
97,Aadarsha Gramin Bahuudeshiy Santha,"F-4935 (Bul), Khandavi (MAHARASHTRA)","At Post- Khandavi, District- Buldhana, Maharashtra-443403","Agriculture,Animal Husbandry, Dairying & Fisheries,Civic Issues,Disaster Management,Environment & Forests,Food Processing,Health & Family Welfare,Micro Finance (SHGs),Micro Small & Medium Enterprises,Panchayati Raj,Rural Development & Poverty Alleviation,Tribal Affairs,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs"
98,AADARSHA JEVAN VIKAS PRATISHTHAN,"F-2359(LTR), Parbhani (MAHARASHTRA)","301, Shahenaz Palace, Kala Bawer Plot, Near Nasir Painter, District- Parbhani-431401, Maharashtra","Art & Culture,Education & Literacy,Health & Family Welfare,Minority Issues,Vocational Training,Women's Development & Empowerment"
99,AADARSHA MAHILA VIKAS MARGDARSHAN SANSTHA NASHIK,"MAHARASHTRA
/7577/2002/NASHIK, NASHIK (MAHARASHTRA)",C3 VASUNDHRA SOCIETY BEHIND CHURCH INDIRA NAGAR NASHIK09,Women's Development & Empowerment
100,AADARSHA SARVAJANIK WACHNALAYA PANJA,"MAHA/823/AKOLA, AKOLA (MAHARASHTRA)",AT PANAJ TALUKA AKOT DIST AKOLA,"Education & Literacy,Environment & Forests,Labour & Employment,Rural Development & Poverty Alleviation,Women's Development & Empowerment,Education & Literacy,Environment & Forests,Health & Family Welfare,Rural Development & Poverty Alleviation,Women's Development & Empowerment"
